__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1705311024.766995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367764.000000000,1705311024.766783714,-15.199999809,-41.279998779,163.399993896,0.180999994,-0.517000020,0.555000007
1705311024.783295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367765.000000000,1705311024.783073187,-15.260000229,-41.220001221,163.449996948,0.181999996,-0.514999986,0.551999986
1705311024.799591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367766.000000000,1705311024.799345732,-15.210000038,-41.279998779,163.449996948,0.180999994,-0.514999986,0.550999999
1705311024.816250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367767.000000000,1705311024.815960407,-15.260000229,-41.340000153,163.429992676,0.179000005,-0.513999999,0.551999986
1705311024.828719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367768.000000000,1705311024.828437805,-15.260000229,-41.330001831,163.419998169,0.180000007,-0.513999999,0.551999986
1705311024.845179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367769.000000000,1705311024.845005512,-15.220000267,-41.310001373,163.410003662,0.180999994,-0.515999973,0.550999999
1705311024.857513,11.663147622,-9.949100240,-0.515166660,0.552166661,0.000000000,0.000000000,11.396348864,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.131472720,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.234494806,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243782525,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.235000134,0.000000000,0.000000000,0.000000000,0.000000000,-41.293333689,163.426663717,0.180666665,,,,,,,,
1705311024.861537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367770.000000000,1705311024.861397982,-15.180000305,-41.369998932,163.410003662,0.180000007,-0.515999973,0.551999986
1705311024.878004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367771.000000000,1705311024.877725124,-15.239999771,-41.349998474,163.449996948,0.180000007,-0.514999986,0.551999986
1705311024.894301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367772.000000000,1705311024.894006729,-15.229999542,-41.270000458,163.429992676,0.180999994,-0.514999986,0.554000020
1705311024.910411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367773.000000000,1705311024.910238028,-15.180000305,-41.200000763,163.419998169,0.181999996,-0.517000020,0.554000020
1705311024.926805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367774.000000000,1705311024.926505804,-15.199999809,-41.229999542,163.419998169,0.181999996,-0.517000020,0.554000020
1705311024.943248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367775.000000000,1705311024.942789793,-15.250000000,-41.290000916,163.399993896,0.180000007,-0.514999986,0.552999973
1705311024.957778,11.684814467,-9.940766398,-0.515833328,0.553166668,0.000000000,0.000000000,11.391349067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.131306051,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.235161474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.244782532,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.213333289,0.000000000,0.000000000,0.000000000,0.000000000,-41.284999847,163.421663920,0.180833335,,,,,,,,
1705311024.959193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367776.000000000,1705311024.959046841,-15.250000000,-41.349998474,163.410003662,0.178000003,-0.513999999,0.552999973
1705311024.975565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367777.000000000,1705311024.975290060,-15.210000038,-41.279998779,163.440002441,0.180000007,-0.514999986,0.551999986
1705311024.991862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367778.000000000,1705311024.991554022,-15.220000267,-41.259998322,163.449996948,0.180999994,-0.514999986,0.551999986
1705311025.008138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367779.000000000,1705311025.007848978,-15.210000038,-41.259998322,163.429992676,0.180000007,-0.515999973,0.552999973
1705311025.024267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367780.000000000,1705311025.024110317,-15.270000458,-41.240001678,163.449996948,0.180999994,-0.514999986,0.551999986
1705311025.036504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367781.000000000,1705311025.036301136,-15.250000000,-41.330001831,163.449996948,0.180000007,-0.514999986,0.550999999
1705311025.052873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367782.000000000,1705311025.052576780,-15.189999580,-41.310001373,163.449996948,0.180999994,-0.515999973,0.550000012
1705311025.058837,11.669576273,-9.945766376,-0.515142841,0.551857131,0.000000000,0.000000000,11.409683229,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.131996527,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.234470987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243472996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.228571483,0.000000000,0.000000000,0.000000000,0.000000000,-41.289999826,163.439998082,0.180142858,,,,,,,,
1705311025.069159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367783.000000000,1705311025.068886280,-15.239999771,-41.369998932,163.429992676,0.180000007,-0.513999999,0.552999973
1705311025.085353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367784.000000000,1705311025.085154772,-15.210000038,-41.380001068,163.419998169,0.179000005,-0.514999986,0.552999973
1705311025.101726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367785.000000000,1705311025.101440191,-15.210000038,-41.279998779,163.399993896,0.180999994,-0.514999986,0.551999986
1705311025.118035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367786.000000000,1705311025.117758036,-15.170000076,-41.240001678,163.399993896,0.181999996,-0.515999973,0.550999999
1705311025.134087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367787.000000000,1705311025.134014606,-15.220000267,-41.250000000,163.429992676,0.180999994,-0.515999973,0.551999986
1705311025.150410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367788.000000000,1705311025.150259733,-15.270000458,-41.299999237,163.419998169,0.180000007,-0.514999986,0.552999973
1705311025.158800,11.678147648,-9.959099833,-0.515166650,0.552333315,0.000000000,0.000000000,11.386346728,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.131639385,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.234494796,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243949180,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.220000108,0.000000000,0.000000000,0.000000000,0.000000000,-41.303333282,163.416661580,0.180500001,,,,,,,,
1705311025.166869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367789.000000000,1705311025.166568756,-15.260000229,-41.330001831,163.410003662,0.180000007,-0.513999999,0.551999986
1705311025.183089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367790.000000000,1705311025.182805538,-15.310000420,-41.270000458,163.449996948,0.180999994,-0.513000011,0.550999999
1705311025.199193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367791.000000000,1705311025.199057817,-15.270000458,-41.290000916,163.449996948,0.180000007,-0.514999986,0.551999986
1705311025.215604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367792.000000000,1705311025.215316296,-15.239999771,-41.319999695,163.429992676,0.180000007,-0.515999973,0.551999986
1705311025.231904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367793.000000000,1705311025.231603146,-15.189999580,-41.279998779,163.440002441,0.181999996,-0.517000020,0.554000020
1705311025.248057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367794.000000000,1705311025.247880459,-15.170000076,-41.259998322,163.440002441,0.182999998,-0.517000020,0.552999973
